sit_id,sit_name,name,timeSeriesName,since,until,averageValue,unit,confidence,totalSample,healthAdvice,healthAdviceColor,healthCode
032edf91-3cb9-42be-8ff3-70d3f56dba68,Morwell East,PM2.5,24HR_AV,2024-05-12T13:00:00Z,2024-05-13T13:00:00Z,4.01,&micro;g/m&sup3;,108.33,312,Good,#42A93C,1029
5fa9b7aa-651d-4c9d-96b1-8f6813b2d933,Geelong South,PM2.5,1HR_AV,2024-05-13T12:00:00Z,2024-05-13T13:00:00Z,7.1,&micro;g/m&sup3;,108.33,13,Good,#42A93C,1021
5fa9b7aa-651d-4c9d-96b1-8f6813b2d933,Geelong South,PM2.5,24HR_AV,2024-05-12T13:00:00Z,2024-05-13T13:00:00Z,6.2,&micro;g/m&sup3;,108.33,312,Good,#42A93C,1029
15b90658-97fe-42a4-8bb8-cfc5cc90cdc9,Point Cook,PM2.5,1HR_AV,2024-05-13T12:00:00Z,2024-05-13T13:00:00Z,5.58,&micro;g/m&sup3;,108.33,13,Good,#42A93C,1021
15b90658-97fe-42a4-8bb8-cfc5cc90cdc9,Point Cook,PM2.5,24HR_AV,2024-05-12T13:00:00Z,2024-05-13T13:00:00Z,9.06,&micro;g/m&sup3;,105.56,312,Fair,#EEC900,1030
4afe6adc-cbac-4bf1-afbe-ff98d59564f9,Melbourne CBD,PM2.5,1HR_AV,2024-05-13T12:00:00Z,2024-05-13T13:00:00Z,7.14,&micro;g/m&sup3;,108.33,13,Good,#42A93C,1021
4afe6adc-cbac-4bf1-afbe-ff98d59564f9,Melbourne CBD,PM2.5,24HR_AV,2024-05-12T13:00:00Z,2024-05-13T13:00:00Z,15.88,&micro;g/m&sup3;,108.33,312,Fair,#EEC900,1030
8413d21d-5440-4f2b-81f9-2e5cfb8620d0,Wangaratta,PM2.5,1HR_AV,2024-05-13T12:00:00Z,2024-05-13T13:00:00Z,34.75,&micro;g/m&sup3;,108.33,13,Fair,#EEC900,1022
8413d21d-5440-4f2b-81f9-2e5cfb8620d0,Wangaratta,PM2.5,24HR_AV,2024-05-12T13:00:00Z,2024-05-13T13:00:00Z,9.57,&micro;g/m&sup3;,108.33,312,Fair,#EEC900,1030
33f48fb3-f771-49e8-b554-0fcec8eb70bb,Morwell South,PM2.5,1HR_AV,2024-05-13T12:00:00Z,2024-05-13T13:00:00Z,6.12,&micro;g/m&sup3;,108.33,13,Good,#42A93C,1021
33f48fb3-f771-49e8-b554-0fcec8eb70bb,Morwell South,PM2.5,24HR_AV,2024-05-12T13:00:00Z,2024-05-13T13:00:00Z,9.74,&micro;g/m&sup3;,105.21,312,Fair,#EEC900,1030
d56ede8c-637a-41e9-a055-f53198e9456a,Brighton,PM2.5,1HR_AV,2024-05-13T12:00:00Z,2024-05-13T13:00:00Z,8.75,&micro;g/m&sup3;,108.33,13,Good,#42A93C,1021
d56ede8c-637a-41e9-a055-f53198e9456a,Brighton,PM2.5,24HR_AV,2024-05-12T13:00:00Z,2024-05-13T13:00:00Z,13.27,&micro;g/m&sup3;,108.33,312,Fair,#EEC900,1030
4c4e8933-a66b-4e76-b2c2-ad9bb56d8809,Altona North,PM2.5,1HR_AV,2024-05-13T12:00:00Z,2024-05-13T13:00:00Z,2.55,&micro;g/m&sup3;,108.33,13,Good,#42A93C,1021
4c4e8933-a66b-4e76-b2c2-ad9bb56d8809,Altona North,PM2.5,24HR_AV,2024-05-12T13:00:00Z,2024-05-13T13:00:00Z,9.83,&micro;g/m&sup3;,108.33,312,Fair,#EEC900,1030
ed97e7b3-1ce6-4c6c-bb45-7f42ef305620,Bright,PM2.5,1HR_AV,2024-05-13T12:00:00Z,2024-05-13T13:00:00Z,7.19,&micro;g/m&sup3;,108.33,13,Good,#42A93C,1021
ed97e7b3-1ce6-4c6c-bb45-7f42ef305620,Bright,PM2.5,24HR_AV,2024-05-12T13:00:00Z,2024-05-13T13:00:00Z,3.96,&micro;g/m&sup3;,108.33,312,Good,#42A93C,1029
fd9971b2-130e-4163-b56c-a37beadc7846,Macleod,PM2.5,1HR_AV,2024-05-13T12:00:00Z,2024-05-13T13:00:00Z,2.0,&micro;g/m&sup3;,108.33,13,Good,#42A93C,1021
fd9971b2-130e-4163-b56c-a37beadc7846,Macleod,PM2.5,24HR_AV,2024-05-12T13:00:00Z,2024-05-13T13:00:00Z,8.74,&micro;g/m&sup3;,108.33,312,Fair,#EEC900,1030
4246f120-80ff-44e5-9c94-ec5a16a7276e,Mildura,PM2.5,1HR_AV,2024-05-13T12:00:00Z,2024-05-13T13:00:00Z,4.98,&micro;g/m&sup3;,108.33,13,Good,#42A93C,1021
4246f120-80ff-44e5-9c94-ec5a16a7276e,Mildura,PM2.5,24HR_AV,2024-05-12T13:00:00Z,2024-05-13T13:00:00Z,9.11,&micro;g/m&sup3;,108.33,312,Fair,#EEC900,1030
f70a1ce9-691e-4dff-83e4-792065d77779,Swan Hill,PM2.5,1HR_AV,2024-05-13T12:00:00Z,2024-05-13T13:00:00Z,1.97,&micro;g/m&sup3;,108.33,13,Good,#42A93C,1021
f70a1ce9-691e-4dff-83e4-792065d77779,Swan Hill,PM2.5,24HR_AV,2024-05-12T13:00:00Z,2024-05-13T13:00:00Z,2.89,&micro;g/m&sup3;,108.33,312,Good,#42A93C,1029
b2972c05-c6c6-4d50-94ad-7fa53722e9d0,Spotswood,PM2.5,1HR_AV,2024-05-13T12:00:00Z,2024-05-13T13:00:00Z,1.99,&micro;g/m&sup3;,108.33,13,Good,#42A93C,1021
b2972c05-c6c6-4d50-94ad-7fa53722e9d0,Spotswood,PM2.5,24HR_AV,2024-05-12T13:00:00Z,2024-05-13T13:00:00Z,9.7,&micro;g/m&sup3;,108.33,312,Fair,#EEC900,1030
63a73778-4244-481b-82d9-3a7c416832eb,Rosedale,PM2.5,1HR_AV,2024-05-13T12:00:00Z,2024-05-13T13:00:00Z,8.25,&micro;g/m&sup3;,108.33,13,Good,#42A93C,1021
63a73778-4244-481b-82d9-3a7c416832eb,Rosedale,PM2.5,24HR_AV,2024-05-12T13:00:00Z,2024-05-13T13:00:00Z,7.74,&micro;g/m&sup3;,108.33,312,Good,#42A93C,1029
9a9f2a8f-e108-4ae6-b9d3-ec6fe25863b5,Kingsville,PM2.5,1HR_AV,2024-05-13T12:00:00Z,2024-05-13T13:00:00Z,3.49,&micro;g/m&sup3;,108.33,13,Good,#42A93C,1021
9a9f2a8f-e108-4ae6-b9d3-ec6fe25863b5,Kingsville,PM2.5,24HR_AV,2024-05-12T13:00:00Z,2024-05-13T13:00:00Z,10.52,&micro;g/m&sup3;,108.33,312,Fair,#EEC900,1030
ea40fbea-46ce-4acf-8f3e-eb76c26c712b,Melton,PM2.5,1HR_AV,2024-05-13T12:00:00Z,2024-05-13T13:00:00Z,3.24,&micro;g/m&sup3;,108.33,13,Good,#42A93C,1021
ea40fbea-46ce-4acf-8f3e-eb76c26c712b,Melton,PM2.5,24HR_AV,2024-05-12T13:00:00Z,2024-05-13T13:00:00Z,5.63,&micro;g/m&sup3;,108.33,312,Good,#42A93C,1029
9348c1f5-60c5-4c35-b4f1-1f0931ab1415,Mooroolbark,PM2.5,1HR_AV,2024-05-13T12:00:00Z,2024-05-13T13:00:00Z,6.53,&micro;g/m&sup3;,108.33,13,Good,#42A93C,1021
9348c1f5-60c5-4c35-b4f1-1f0931ab1415,Mooroolbark,PM2.5,24HR_AV,2024-05-12T13:00:00Z,2024-05-13T13:00:00Z,10.61,&micro;g/m&sup3;,105.56,312,Fair,#EEC900,1030
031354b3-b6a2-403b-aae3-79e18f69c957,Footscray,PM2.5,1HR_AV,2024-05-13T12:00:00Z,2024-05-13T13:00:00Z,3.49,&micro;g/m&sup3;,108.33,13,Good,#42A93C,1021
031354b3-b6a2-403b-aae3-79e18f69c957,Footscray,PM2.5,24HR_AV,2024-05-12T13:00:00Z,2024-05-13T13:00:00Z,9.87,&micro;g/m&sup3;,108.33,312,Fair,#EEC900,1030
031354b3-b6a2-403b-aae3-79e18f69c957,Footscray,PM2.5,1HR_AV,2024-05-13T12:00:00Z,2024-05-13T13:00:00Z,3.49,&micro;g/m&sup3;,108.33,13,Good,#42A93C,1021
031354b3-b6a2-403b-aae3-79e18f69c957,Footscray,PM2.5,24HR_AV,2024-05-12T13:00:00Z,2024-05-13T13:00:00Z,9.87,&micro;g/m&sup3;,108.33,312,Fair,#EEC900,1030
78dbc892-d9e9-490b-94a6-baf1ca72c36c,Brooklyn,PM2.5,1HR_AV,2024-05-13T12:00:00Z,2024-05-13T13:00:00Z,6.05,&micro;g/m&sup3;,108.33,13,Good,#42A93C,1021
78dbc892-d9e9-490b-94a6-baf1ca72c36c,Brooklyn,PM2.5,24HR_AV,2024-05-12T13:00:00Z,2024-05-13T13:00:00Z,10.89,&micro;g/m&sup3;,103.82,312,Fair,#EEC900,1030
82e215ca-e0e5-4a00-9357-98d53b04311b,Bendigo,PM2.5,1HR_AV,2024-05-13T12:00:00Z,2024-05-13T13:00:00Z,12.39,&micro;g/m&sup3;,108.33,13,Good,#42A93C,1021
82e215ca-e0e5-4a00-9357-98d53b04311b,Bendigo,PM2.5,24HR_AV,2024-05-12T13:00:00Z,2024-05-13T13:00:00Z,4.01,&micro;g/m&sup3;,108.33,312,Good,#42A93C,1029
c21b7785-acfa-45c0-83c6-7700760bf8f1,Porepunkah,PM2.5,1HR_AV,2024-05-13T12:00:00Z,2024-05-13T13:00:00Z,5.5,&micro;g/m&sup3;,108.33,13,Good,#42A93C,1021
c21b7785-acfa-45c0-83c6-7700760bf8f1,Porepunkah,PM2.5,24HR_AV,2024-05-12T13:00:00Z,2024-05-13T13:00:00Z,3.69,&micro;g/m&sup3;,108.33,312,Good,#42A93C,1029
