 postcode, legal_name, suburb, address, ogc_fid, longitude, latitude
3802.0,James Cook Primary School,ENDEAVOUR HILLS,29 - 59 JAMES COOK DRIVE ,1046,145.2590707,-37.9780214
3163.0,Murrumbeena Primary School OSHC,MURRUMBEENA,10 HOBART ROAD ,1047,145.072,-37.899
3107.0,Templestowe Valley Primary School Council,TEMPLESTOWE LOWER,15 BIRCHWOOD AVENUE ,1049,145.1099967,-37.7641408
3029.0,Point Cook Kindergarten Inc,HOPPERS CROSSING,Point Cook Kindergarten ,1051,144.693,-37.869
3065.0,The Trustee for SAVE THE CHILDREN AUSTRALIA TRUST,FITZROY,SAVE THE CHILDREN AUSTRALIA,1069,144.9804594,-37.7974551
3065.0,Save the Children Australia,FITZROY,Save the Children Australia,1070,144.9804594,-37.7974551
3915.0,Hastings Preschool Kindergarten Inc,HASTINGS,Hastings Preschool Kindergarten ,1072,145.189,-38.306
3782.0,Emerald Community House Inc,EMERALD,Emerald Community House ,1073,145.436944,-37.933056
3977.0,TBM TRAINING PTY LTD,CRANBOURNE,TMB Trading  ,1076,145.279,-38.105
3977.0,The Trustee for the Holman Trust,CRANBOURNE NORTH,8 ELIZABETH ST ,1077,145.291,-38.07
3977.0,Merinda Park Community Centre Inc,CRANBOURNE NORTH,Merinda Park Community Centre ,1078,145.291,-38.07
3977.0,Kidz R Kidz Pty Ltd,CRANBOURNE NORTH,30 STIRLING AVENUE ,1079,145.291,-38.07
3765.0,Billanook Primary School,MONTROSE,Billanook Primary School,1082,145.353065,-37.8083883
3807.0,Hillcrest Christian College (Vic) Inc,BEACONSFIELD,Hillcrest Christian College (Vic) ,1085,145.371,-38.049
3807.0,Beaconsfield Kindergarten Inc,BEACONSFIELD,Beaconsfield Kindergarten ,1086,145.371,-38.049
3807.0,CREST EDUCATION LTD,BEACONSFIELD,Crest Education,1087,145.371,-38.049
3139.0,Maurbre PTY. LTD. As Trustee For King Family Trust.,SEVILLE,Maurbre . . As Trustee For King Family Trust.,1088,145.461,-37.777
1481.0,HAYAT BUSINESS SERVICES PTY. LTD.,HURSTVILLE BC,HAYAT BUSINESS SERVICES . .,1089,144.9573434,-37.6845564
1481.0,Anglican Schools Corporation,HURSTVILLE BC,Anglican Schools Corporation,1090,144.9573434,-37.6845564
1481.0,Georges River Council,HURSTVILLE BC,Georges River Council,1091,144.9573434,-37.6845564
1481.0,KIDZ CORNER HURSTVILLE PTY LTD,HURSTVILLE BC,KIDZ CORNER  ,1092,144.9573434,-37.6845564
1481.0,Bluefit Pty Ltd,HURSTVILLE BC,Bluefit Leisure  ,1093,144.9573434,-37.6845564
3913.0,FLINDERS CHRISTIAN COMMUNITY COLLEGE INC,TYABB,Flinders Christian Community College,1094,145.1706992,-38.2651079
3178.0,Rowville Aftercare Program Inc,ROWVILLE,Rowville Aftercare Program ,1097,145.2424941,-37.9210442
3796.0,Mount Evelyn Primary School Council,MOUNT EVELYN,Mount Evelyn Primary School Council,1098,145.3917982,-37.7791563
3796.0,Mount Evelyn Memorial Preschool Inc,MOUNT EVELYN,Mount Evelyn Memorial Preschool ,1099,145.3917982,-37.7791563
3796.0,Association for Christian Education Mount Evelyn Inc,MOUNT EVELYN,135 YORK ROAD ,1100,145.3917982,-37.7791563
3805.0,Casey City Church Inc,FOUNTAIN GATE,Casey City Church ,1101,145.3038674,-38.0180142
3805.0,HIP HOP PTY. LTD.,FOUNTAIN GATE,Hippity Hop Childcare,1102,145.3038674,-38.0180142
3136.0,Croydon Primary School,CROYDON,Croydon Primary School,1106,145.281,-37.796
3136.0,Ruskin Park Primary School Council,CROYDON,Ruskin Park Primary School Council,1107,145.281,-37.796
3136.0,Lilydale Community Child Care Inc,CROYDON,12 - 50 NORTON ROAD ,1108,145.281,-37.796
3136.0,St John's Kindergarten Committee Croydon Inc,CROYDON,9 TOORAK AVENUE ,1109,145.281,-37.796
3136.0,Brentwood Park Kindergarten Inc,CROYDON,Brentwood Park Kindergarten ,1110,145.281,-37.796
3136.0,Croydon Central Kindergarten Inc,CROYDON,Croydon Central Kindergarten ,1111,145.281,-37.796
3930.0,Rosebud Primary School,ROSEBUD,Rosebud Primary School,1112,145.0879338,-38.1952209
3931.0,LITTLE GRASSHOPPERS (ERAMOSA) PTY LTD,MORNINGTON,Little Grasshoppers (Emamosa),1113,145.0603633,-38.2277083
3939.0,Rosebud Kindergarten Inc,ROSEBUD,Rosebud Kindergarten ,1117,144.918,-38.356
3939.0,WTM Holdings PTY LTD,ROSEBUD,WTM Holdings  ,1118,144.918,-38.356
3198.0,Riviera Preschool Centre Inc,SEAFORD,31A NEWTON STREET ,1120,145.1431018,-38.1021858
3198.0,Kananook Preschool Inc,SEAFORD,6 BUNA AVENUE ,1121,145.1431018,-38.1021858
3198.0,Aldercourt Primary School,SEAFORD,Aldercourt Primary School,1122,145.1431018,-38.1021858
3198.0,Seaford Heights Preschool Assoc Inc,SEAFORD,Seaford Heights Preschool Assoc ,1123,145.1431018,-38.1021858
3130.0,Aurora School Council,BLACKBURN SOUTH,96 HOLLAND ROAD ,1124,145.144,-37.838
3130.0,TRUE MAPLE LEARNING PTY LTD,BLACKBURN SOUTH,20 RICHMOND ST ,1125,145.144,-37.838
3131.0,Whitehorse Primary School Council,BLACKBURN NORTH,70 - 86 JUNCTION ROAD ,1126,145.152,-37.81
3095.0,THE ELTHAM COLLEGE FOUNDATION LIMITED,ELTHAM,THE ELTHAM COLLEGE FOUNDATION ,1127,145.158,-37.715
3095.0,Eltham East Primary School Council,ELTHAM,Eltham East Primary School Council,1128,145.158,-37.715
3095.0,Melbourne City School,ELTHAM,Melbourne City School,1129,145.158,-37.715
3095.0,Eltham College,ELTHAM,Eltham College,1130,145.158,-37.715
3184.0,Elwood St.Kilda Neighbourhood Learning Centre Inc,ELWOOD,Elwood St.Kilda Neighbourhood Learning Centre ,1131,144.9859676,-37.878722
3184.0,Little Chiefs Holdings Pty Ltd,ELWOOD,Little Chiefs Holdings  ,1132,144.9859676,-37.878722
3184.0,Lady Forster Kindergarten Inc,ELWOOD,Lady Forster Kindergarten ,1133,144.9859676,-37.878722
3196.0,Sproson Nominees Pty Ltd ATF Sproson-Colliver Unit Trust,CHELSEA,Our Learning Steps Childcare Centre and Kindergarten,1134,145.121944,-38.051111
3937.0,Red Hill & District Memorial Preschool Inc,RED HILL,Red Hill & District Memorial Preschool ,1135,145.016,-38.355
3186.0,Platypus Junction Langwarrin Pty Ltd ATF Platypus Junction Langwarrin Trust,BRIGHTON NORTH,Platypus Junction Langwarrin  ,1137,144.9997396,-37.9044002
3941.0,Boneo Primary School,RYE,Boneo Primary School,1138,144.838,-38.377
3941.0,Rye Primary School Council,RYE,Rye Primary School Council,1139,144.838,-38.377
3095.0,Little Scooters Pty Ltd,RESEARCH,Little Scooters  ,1140,145.18,-37.707
3163.0,Murrumbeena Kindergarten Inc,CARNEGIE,Murrumbeena Kindergarten ,1142,145.062,-37.888
3123.0,Auburn Kindergarten & Child Care Centre Inc,HAWTHORN EAST,27 STATION STREET ,1143,145.0520938,-37.8310813
3149.0,Syndal South Primary School,MOUNT WAVERLEY,14 MONTGOMERY AVE ,1144,145.1265477,-37.8772869
3149.0,Pantea Pty Ltd,MOUNT WAVERLEY,420 HIGH STREET ROAD ,1145,145.1265477,-37.8772869
3166.0,The Greek Orthodox Community of Oakleigh & District Inc.,OAKLEIGH,The Greek Orthodox Community of Oakleigh & District .,1146,145.0962067,-37.9020702
3148.0,AUSTRALIAN BASKETBALL DIGEST PTY LTD,HOLMESGLEN,AUSTRALIAN BASKETBALL DIGEST  ,1147,145.0989646,-37.8819831
