,datetime_local,location_name,BPM2.5
303,2022-01-13-16,Melbourne CBD,0.919
304,2022-01-13-17,Melbourne CBD,4.701
305,2022-01-13-18,Melbourne CBD,2.627
306,2022-01-13-19,Melbourne CBD,2.784
307,2022-01-13-20,Melbourne CBD,9.459
308,2022-01-13-21,Melbourne CBD,10.25
309,2022-01-13-22,Melbourne CBD,5.041
310,2022-01-14-00,Melbourne CBD,9.548
311,2022-01-14-01,Melbourne CBD,8.111
312,2022-01-14-02,Melbourne CBD,2.303
313,2022-01-14-03,Melbourne CBD,10.333
314,2022-01-14-04,Melbourne CBD,4.417
315,2022-01-14-05,Melbourne CBD,4.542
316,2022-01-14-06,Melbourne CBD,10.061
317,2022-01-14-07,Melbourne CBD,5.517
318,2022-01-14-08,Melbourne CBD,8.288
319,2022-01-14-09,Melbourne CBD,9.143
320,2022-01-14-10,Melbourne CBD,9.038
321,2022-01-14-11,Melbourne CBD,0.826
322,2022-01-14-12,Melbourne CBD,5.814
323,2022-01-14-13,Melbourne CBD,12.248
324,2022-01-14-14,Melbourne CBD,2.263
325,2022-01-14-15,Melbourne CBD,4.041
326,2022-01-14-16,Melbourne CBD,5.65
327,2022-01-14-17,Melbourne CBD,11.457
328,2022-01-14-18,Melbourne CBD,2.527
329,2022-01-14-19,Melbourne CBD,8.318
330,2022-01-14-20,Melbourne CBD,9.025
331,2022-01-14-21,Melbourne CBD,8.403
332,2022-01-14-22,Melbourne CBD,3.988
333,2022-01-14-23,Melbourne CBD,11.321
334,2022-01-15-00,Melbourne CBD,5.679
335,2022-01-15-01,Melbourne CBD,9.922
336,2022-01-15-02,Melbourne CBD,8.766
337,2022-01-15-03,Melbourne CBD,6.84
338,2022-01-15-04,Melbourne CBD,3.919
339,2022-01-15-05,Melbourne CBD,8.989
340,2022-01-15-06,Melbourne CBD,2.707
341,2022-01-15-07,Melbourne CBD,4.333
342,2022-01-15-08,Melbourne CBD,5.7
343,2022-01-15-09,Melbourne CBD,6.921
344,2022-01-15-10,Melbourne CBD,4.81
345,2022-01-15-11,Melbourne CBD,3.783
346,2022-01-15-12,Melbourne CBD,8.389
347,2022-01-15-13,Melbourne CBD,6.55
348,2022-01-15-14,Melbourne CBD,3.328
349,2022-01-15-15,Melbourne CBD,2.479
350,2022-01-15-16,Melbourne CBD,6.421
351,2022-01-15-17,Melbourne CBD,5.237
352,2022-01-15-18,Melbourne CBD,8.719
353,2022-01-15-19,Melbourne CBD,5.837
354,2022-01-15-20,Melbourne CBD,9.053
355,2022-01-15-21,Melbourne CBD,7.896
356,2022-01-15-22,Melbourne CBD,2.159
357,2022-01-15-23,Melbourne CBD,5.076
358,2022-01-16-00,Melbourne CBD,6.414
359,2022-01-16-01,Melbourne CBD,3.349
360,2022-01-16-02,Melbourne CBD,7.886
361,2022-01-16-03,Melbourne CBD,5.153
362,2022-01-16-04,Melbourne CBD,3.513
363,2022-01-16-05,Melbourne CBD,4.006
364,2022-01-16-06,Melbourne CBD,6.792
365,2022-01-16-07,Melbourne CBD,2.842
366,2022-01-16-08,Melbourne CBD,3.085
367,2022-01-16-09,Melbourne CBD,2.888
368,2022-01-16-10,Melbourne CBD,8.304
369,2022-01-16-11,Melbourne CBD,7.974
370,2022-01-16-12,Melbourne CBD,7.01
371,2022-01-16-13,Melbourne CBD,8.869
372,2022-01-16-14,Melbourne CBD,6.636
373,2022-01-16-15,Melbourne CBD,8.903
374,2022-01-16-16,Melbourne CBD,9.78
375,2022-01-16-17,Melbourne CBD,7.361
376,2022-01-16-18,Melbourne CBD,14.778
377,2022-01-16-19,Melbourne CBD,8.896
378,2022-01-16-20,Melbourne CBD,5.238
379,2022-01-16-21,Melbourne CBD,3.968
380,2022-01-16-22,Melbourne CBD,0.202
381,2022-01-16-23,Melbourne CBD,9.155
382,2022-01-17-00,Melbourne CBD,-0.696
383,2022-01-17-01,Melbourne CBD,3.085
384,2022-01-17-02,Melbourne CBD,10.694
385,2022-01-17-03,Melbourne CBD,4.382
386,2022-01-17-04,Melbourne CBD,2.274
387,2022-01-17-05,Melbourne CBD,5.286
388,2022-01-17-06,Melbourne CBD,4.832
389,2022-01-17-07,Melbourne CBD,5.916
390,2022-01-17-08,Melbourne CBD,5.611
391,2022-01-17-09,Melbourne CBD,9.783
392,2022-01-17-10,Melbourne CBD,9.749
393,2022-01-17-11,Melbourne CBD,8.379
394,2022-01-17-12,Melbourne CBD,6.214
395,2022-01-17-13,Melbourne CBD,6.342
396,2022-01-17-14,Melbourne CBD,7.73
397,2022-01-17-15,Melbourne CBD,6.958
398,2022-01-17-16,Melbourne CBD,10.011
399,2022-01-17-17,Melbourne CBD,4.207
400,2022-01-17-18,Melbourne CBD,7.895
401,2022-01-17-19,Melbourne CBD,4.808
402,2022-01-17-20,Melbourne CBD,10.002
403,2022-01-17-21,Melbourne CBD,12.002
404,2022-01-17-22,Melbourne CBD,6.322
405,2022-01-17-23,Melbourne CBD,6.21
406,2022-01-18-00,Melbourne CBD,3.382
407,2022-01-18-01,Melbourne CBD,4.686
408,2022-01-18-02,Melbourne CBD,12.592
409,2022-01-18-03,Melbourne CBD,8.172
410,2022-01-18-04,Melbourne CBD,5.772
411,2022-01-18-05,Melbourne CBD,1.978
412,2022-01-18-06,Melbourne CBD,4.286
413,2022-01-18-07,Melbourne CBD,4.74
414,2022-01-18-08,Melbourne CBD,13.827
415,2022-01-18-09,Melbourne CBD,8.661
416,2022-01-18-10,Melbourne CBD,-1.205
417,2022-01-18-11,Melbourne CBD,7.382
418,2022-01-18-12,Melbourne CBD,10.887
419,2022-01-18-13,Melbourne CBD,7.91
420,2022-01-18-14,Melbourne CBD,5.021
421,2022-01-18-15,Melbourne CBD,4.346
422,2022-01-18-16,Melbourne CBD,4.32
423,2022-01-18-17,Melbourne CBD,5.041
424,2022-01-18-18,Melbourne CBD,0.917
425,2022-01-18-19,Melbourne CBD,3.352
426,2022-01-18-20,Melbourne CBD,3.321
427,2022-01-18-21,Melbourne CBD,4.686
428,2022-01-18-22,Melbourne CBD,9.849
429,2022-01-18-23,Melbourne CBD,8.875
430,2022-01-19-00,Melbourne CBD,7.162
431,2022-01-19-01,Melbourne CBD,7.591
432,2022-01-19-02,Melbourne CBD,12.97
433,2022-01-19-03,Melbourne CBD,4.784
434,2022-01-19-04,Melbourne CBD,7.041
435,2022-01-19-05,Melbourne CBD,1.908
436,2022-01-19-06,Melbourne CBD,1.626
437,2022-01-19-07,Melbourne CBD,-0.857
438,2022-01-19-08,Melbourne CBD,4.377
439,2022-01-19-09,Melbourne CBD,9.139
440,2022-01-19-10,Melbourne CBD,8.959
441,2022-01-19-11,Melbourne CBD,5.1
442,2022-01-19-12,Melbourne CBD,4.074
443,2022-01-19-13,Melbourne CBD,7.704
444,2022-01-19-14,Melbourne CBD,1.202
445,2022-01-19-15,Melbourne CBD,4.252
446,2022-01-19-16,Melbourne CBD,3.709
447,2022-01-19-17,Melbourne CBD,3.89
448,2022-01-19-18,Melbourne CBD,4.818
449,2022-01-19-19,Melbourne CBD,1.28
450,2022-01-19-20,Melbourne CBD,7.379
451,2022-01-19-21,Melbourne CBD,6.933
452,2022-01-19-22,Melbourne CBD,0.084
453,2022-01-19-23,Melbourne CBD,5.976
454,2022-01-20-00,Melbourne CBD,3.172
455,2022-01-20-01,Melbourne CBD,4.941
456,2022-01-20-02,Melbourne CBD,4.823
457,2022-01-20-03,Melbourne CBD,7.56
458,2022-01-20-04,Melbourne CBD,7.725
459,2022-01-20-05,Melbourne CBD,3.8
460,2022-01-20-06,Melbourne CBD,5.781
461,2022-01-20-07,Melbourne CBD,5.881
462,2022-01-20-08,Melbourne CBD,3.966
463,2022-01-20-09,Melbourne CBD,12.836
464,2022-01-20-10,Melbourne CBD,6.671
465,2022-01-20-11,Melbourne CBD,6.075
466,2022-01-20-12,Melbourne CBD,8.033
467,2022-01-20-13,Melbourne CBD,6.123
468,2022-01-20-14,Melbourne CBD,8.074
469,2022-01-20-15,Melbourne CBD,9.425
470,2022-01-20-16,Melbourne CBD,12.491
471,2022-01-20-17,Melbourne CBD,8.851
472,2022-01-20-18,Melbourne CBD,11.169
473,2022-01-20-19,Melbourne CBD,0.793
474,2022-01-20-20,Melbourne CBD,6.99
475,2022-01-20-21,Melbourne CBD,2.987
476,2022-01-20-22,Melbourne CBD,4.337
477,2022-01-20-23,Melbourne CBD,9.118
478,2022-01-21-00,Melbourne CBD,9.101
479,2022-01-21-01,Melbourne CBD,9.928
480,2022-01-21-02,Melbourne CBD,8.562
481,2022-01-21-03,Melbourne CBD,4.807
482,2022-01-21-04,Melbourne CBD,7.266
483,2022-01-21-05,Melbourne CBD,1.398
484,2022-01-21-06,Melbourne CBD,1.731
485,2022-01-21-07,Melbourne CBD,6.181
486,2022-01-21-08,Melbourne CBD,5.426
487,2022-01-21-09,Melbourne CBD,10.148
488,2022-01-21-10,Melbourne CBD,6.954
489,2022-01-21-11,Melbourne CBD,8.846
490,2022-01-21-12,Melbourne CBD,5.463
491,2022-01-21-13,Melbourne CBD,10.338
492,2022-01-21-14,Melbourne CBD,14.259
493,2022-01-21-15,Melbourne CBD,11.147
494,2022-01-21-16,Melbourne CBD,11.655
495,2022-01-21-17,Melbourne CBD,11.126
496,2022-01-21-18,Melbourne CBD,13.606
497,2022-01-21-19,Melbourne CBD,12.657
