 postcode, legal_name, suburb, address, ogc_fid
3139.0,Maurbre PTY. LTD. As Trustee For King Family Trust.,SEVILLE,Maurbre . . As Trustee For King Family Trust.,1088
1481.0,HAYAT BUSINESS SERVICES PTY. LTD.,HURSTVILLE BC,HAYAT BUSINESS SERVICES . .,1089
1481.0,Anglican Schools Corporation,HURSTVILLE BC,Anglican Schools Corporation,1090
1481.0,Georges River Council,HURSTVILLE BC,Georges River Council,1091
1481.0,KIDZ CORNER HURSTVILLE PTY LTD,HURSTVILLE BC,KIDZ CORNER  ,1092
1481.0,Bluefit Pty Ltd,HURSTVILLE BC,Bluefit Leisure  ,1093
3913.0,FLINDERS CHRISTIAN COMMUNITY COLLEGE INC,TYABB,Flinders Christian Community College,1094
3178.0,Rowville Aftercare Program Inc,ROWVILLE,Rowville Aftercare Program ,1097
3796.0,Mount Evelyn Primary School Council,MOUNT EVELYN,Mount Evelyn Primary School Council,1098
3796.0,Mount Evelyn Memorial Preschool Inc,MOUNT EVELYN,Mount Evelyn Memorial Preschool ,1099
3796.0,Association for Christian Education Mount Evelyn Inc,MOUNT EVELYN,135 YORK ROAD ,1100
3805.0,Casey City Church Inc,FOUNTAIN GATE,Casey City Church ,1101
3805.0,HIP HOP PTY. LTD.,FOUNTAIN GATE,Hippity Hop Childcare,1102
3136.0,Croydon Primary School,CROYDON,Croydon Primary School,1106
3136.0,Ruskin Park Primary School Council,CROYDON,Ruskin Park Primary School Council,1107
3136.0,Lilydale Community Child Care Inc,CROYDON,12 - 50 NORTON ROAD ,1108
3136.0,St John's Kindergarten Committee Croydon Inc,CROYDON,9 TOORAK AVENUE ,1109
3136.0,Brentwood Park Kindergarten Inc,CROYDON,Brentwood Park Kindergarten ,1110
3136.0,Croydon Central Kindergarten Inc,CROYDON,Croydon Central Kindergarten ,1111
3930.0,Rosebud Primary School,ROSEBUD,Rosebud Primary School,1112
3931.0,LITTLE GRASSHOPPERS (ERAMOSA) PTY LTD,MORNINGTON,Little Grasshoppers (Emamosa),1113
3939.0,Rosebud Kindergarten Inc,ROSEBUD,Rosebud Kindergarten ,1117
3939.0,WTM Holdings PTY LTD,ROSEBUD,WTM Holdings  ,1118
3198.0,Riviera Preschool Centre Inc,SEAFORD,31A NEWTON STREET ,1120
3198.0,Kananook Preschool Inc,SEAFORD,6 BUNA AVENUE ,1121
3198.0,Aldercourt Primary School,SEAFORD,Aldercourt Primary School,1122
3198.0,Seaford Heights Preschool Assoc Inc,SEAFORD,Seaford Heights Preschool Assoc ,1123
3130.0,Aurora School Council,BLACKBURN SOUTH,96 HOLLAND ROAD ,1124
3130.0,TRUE MAPLE LEARNING PTY LTD,BLACKBURN SOUTH,20 RICHMOND ST ,1125
3131.0,Whitehorse Primary School Council,BLACKBURN NORTH,70 - 86 JUNCTION ROAD ,1126
3095.0,THE ELTHAM COLLEGE FOUNDATION LIMITED,ELTHAM,THE ELTHAM COLLEGE FOUNDATION ,1127
3095.0,Eltham East Primary School Council,ELTHAM,Eltham East Primary School Council,1128
3095.0,Melbourne City School,ELTHAM,Melbourne City School,1129
3095.0,Eltham College,ELTHAM,Eltham College,1130
3184.0,Elwood St.Kilda Neighbourhood Learning Centre Inc,ELWOOD,Elwood St.Kilda Neighbourhood Learning Centre ,1131
3184.0,Little Chiefs Holdings Pty Ltd,ELWOOD,Little Chiefs Holdings  ,1132
3184.0,Lady Forster Kindergarten Inc,ELWOOD,Lady Forster Kindergarten ,1133
3196.0,Sproson Nominees Pty Ltd ATF Sproson-Colliver Unit Trust,CHELSEA,Our Learning Steps Childcare Centre and Kindergarten,1134
3937.0,Red Hill & District Memorial Preschool Inc,RED HILL,Red Hill & District Memorial Preschool ,1135
3186.0,Platypus Junction Langwarrin Pty Ltd ATF Platypus Junction Langwarrin Trust,BRIGHTON NORTH,Platypus Junction Langwarrin  ,1137
3941.0,Boneo Primary School,RYE,Boneo Primary School,1138
3941.0,Rye Primary School Council,RYE,Rye Primary School Council,1139
3095.0,Little Scooters Pty Ltd,RESEARCH,Little Scooters  ,1140
3163.0,Murrumbeena Kindergarten Inc,CARNEGIE,Murrumbeena Kindergarten ,1142
3123.0,Auburn Kindergarten & Child Care Centre Inc,HAWTHORN EAST,27 STATION STREET ,1143
3149.0,Syndal South Primary School,MOUNT WAVERLEY,14 MONTGOMERY AVE ,1144
3149.0,Pantea Pty Ltd,MOUNT WAVERLEY,420 HIGH STREET ROAD ,1145
3166.0,The Greek Orthodox Community of Oakleigh & District Inc.,OAKLEIGH,The Greek Orthodox Community of Oakleigh & District .,1146
3148.0,AUSTRALIAN BASKETBALL DIGEST PTY LTD,HOLMESGLEN,AUSTRALIAN BASKETBALL DIGEST  ,1147
3145.0,Pebble Patch ELC Cranbourne Pty Ltd ATF Pebble Patch ELC Cranbourne Trust,MALVERN EAST,Pebble Patch ELC,1148
3145.0,Little Learning Patch Cranbourne Pty Ltd ATF Little Learning Patch Cranbourne Trust,MALVERN EAST,Little Learning Patch,1149
3145.0,MAYFIELD CHILDCARE LIMITED,MALVERN EAST,Mayfield Early Education,1150
3162.0,Glen Eira City Council,CAULFIELD SOUTH,Glen Eira City Council,1151
3126.0,St Paul's Anglican Kindergarten (Canterbury) Inc,CANTERBURY,CNR CHURCH ST & HIGHFIELD RD ,1152
3072.0,Preston North East Primary School Council,PRESTON,Preston North East Primary School Council,1153
3121.0,Trustees of Edmund Rice Education Australia,RICHMOND,Edmund Rice Education Australia (EREA),1155
3072.0,J S Grey Kindergarten Association Inc,PRESTON WEST,CNR GILBERT RD & REGENT ST ,1156
3070.0,Westgarth Primary School Council,NORTHCOTE,Westgarth Primary School Council,1157
3070.0,Early Childhood Management Services Inc,NORTHCOTE,Early Childhood Management Services ,1158
3074.0,Thomastown Meadows Primary School,THOMASTOWN,Thomastown Meadows Primary School,1159
3001.0,In Loco Parentis PTY LTD ATF the In Loco Parentis Trust,MELBOURNE,In Loco Parentis   ATF the In Loco Parentis Trust,1160
3001.0,Melbourne City Council,MELBOURNE,Melbourne City Council,1161
3001.0,ROSANNA VILLAGE CHILD CARE CENTRE PTY. LTD.,MELBOURNE,Rosanna Village Child Care Centre,1162
3046.0,Glenroy West Primary School Council,GLENROY,Glenroy West Primary School Council,1163
3046.0,Glenroy West Kindergarten Inc,GLENROY,Glenroy West Kindergarten ,1164
3088.0,Yandell Kindergarten Inc,GREENSBOROUGH,1 COMMUNITY DR ,1165
3016.0,ENT Nominees P/L for the ENT Trust Trading as Bright Steps Educational Childcare & Kindergarten,WILLIAMSTOWN,ENT Nominees P/L for the ENT Trust Trading as Bright Steps Educational Childcare & Kindergarten,1166
3016.0,Robina Scott Kindergarten Inc,WILLIAMSTOWN,Robina Scott Kindergarten ,1167
3086.0,La Trobe University,LA TROBE UNIVERSITY,LA TROBE UNIVERSITY COMMUNITY CHILDREN'S CENTRE ,1168
3058.0,Kids on the Avenue Children's Centre Inc.,MORELAND,32 THE AVENUE ,1173
3058.0,MORELAND PRIMARY SCHOOL COUNCIL,MORELAND,MORELAND PRIMARY SCHOOL COUNCIL,1174
3058.0,Ali Kassem,MORELAND,Ali Kassem,1175
3058.0,LEAPKIDS AUSTRALIA PTY LTD,MORELAND,Leapkids,1176
3058.0,Antonine College,MORELAND,Antonine College,1177
3062.0,Roxburgh Homestead Primary School,SOMERTON,Roxburgh Homestead Primary School,1178
3062.0,Our Lady's Parish Craigieburn,SOMERTON,Our Lady's Parish Craigieburn,1179
3073.0,Reservoir Primary School Council,RESERVOIR,Reservoir Primary School Council,1180
3073.0,Northern Darebin Combined Kindergarten Association Inc.,RESERVOIR,Northern Darebin Combined Kindergarten  .,1181
3031.0,Incursions Pty Ltd,FLEMINGTON,Supreme ursions,1182
3031.0,Flemington Primary School,FLEMINGTON,Flemington Primary School,1183
3058.0,Friendly Fish Enterprises Pty Ltd ATF The Andrew Moses Family Trust,COBURG,Dewdrops Early Learning-Moreland,1184
3058.0,Arkoudaki Enterprises Pty Ltd (ATF the M & D Moses Family Trust),COBURG,Arkoudaki Enterprises   (ATF the M & D Moses Family Trust),1185
3041.0,Alsad Pty Ltd,ESSENDON NORTH,Alsad  ,1186
3025.0,Kicks 4 Kids Pty Ltd,ALTONA NORTH,Kicks 4 Kids,1187
3025.0,ANNUNCIATION PRIMARY SCHOOL BROOKLYN,ALTONA NORTH,Annunciation Primary School Brooklyn,1188
3018.0,Altona Primary School Council,ALTONA,Altona Primary School Council,1189
3020.0,Ms Vivian Abboalrahman,SUNSHINE WEST,6 HALL ST ,1190
3047.0,Dallas Welfare & Youth Service,BROADMEADOWS,Dallas Welfare & Youth Service,1192
3021.0,Kings Park Primary School,ST ALBANS,Kings Park Primary School,1193
3194.0,Mentone Girls Grammar School,MENTONE,Mentone Girls Grammar School,1196
3128.0,BOX HILL INSTITUTE,BOX HILL,BOX HILL INSTITUTE,1220
3154.0,Colchester Park Preschool Inc,THE BASIN,Colchester Park Preschool ,1228
3174.0,Harrisfield Primary School Council,NOBLE PARK,495 PRES HIGHWAY ,1244
3175.0,Abdulkadir Hussein,NOBLE PARK,8 MAXWELL COURT ,1245
3174.0,Flamjb PTY LTD,NOBLE PARK,LEVEL 1 46 DOUGLAS STREET ,1246
3174.0,Brighter Life Australia Pty Ltd,NOBLE PARK,Brighter Life Australia  ,1247
3135.0,Maroondah Montessori Preschool Inc,RINGWOOD EAST,Maroondah Montessori Preschool ,1255
3134.0,Pinemont Preschool Association Inc,RINGWOOD NORTH,Pinemont Preschool  ,1256
3040.0,Northwest Maria Montessori Preschool Inc,ESSENDON,Northwest Maria Montessori Preschool ,1261
3040.0,Northwest Montessori Pty Ltd ATF Northwest Montessori Operating Trust,ESSENDON,Northwest Montessori Preschool,1262
3040.0,Lowther Hall Anglican Grammar School,ESSENDON,Lowther Hall Anglican Grammar School,1263
3204.0,Bentleigh West Kindergarten Inc,PATTERSON,Bentleigh West Kindergarten ,1271
3172.0,Triple G Investments Pty Ltd ATF Hewagama Family Trust,DINGLEY VILLAGE,Beacon House Montessori Centre,1277
3002.0,East Melbourne Child Care Co-op Ltd,EAST MELBOURNE,CNR GREY ST & SIMPSON ST ,1282
3197.0,Rene Anderson Kindergarten Inc,PATTERSON LAKES,Rene Anderson Kindergarten ,1305
3197.0,Patterson Lakes Kindergarten Centre Inc,PATTERSON LAKES,Patterson Lakes Kindergarten Centre ,1306
3102.0,Kew East Primary School,KEW EAST,35 KITCHENER STREET ,1315
3132.0,MONTESSORI EARLY EDUCATION CENTRE INC,MITCHAM NORTH,MONTESSORI EARLY EDUCATION CENTRE,1320
3809.0,SNC EDUCATION AND CARE SERVICES PTY. LTD.,OFFICER,20 CRANBROOK CCT ,1327
3809.0,St Clare's Early Learning Centre,OFFICER,St Clare's Early Learning Centre,1328
3061.0,RAPIZA PTY LTD,CAMPBELLFIELD,ARA ADVANCED FAMILY DAY CARE AND CONSULTING SERVICES,1337
3072.0,Kids Family Day Care Pty Ltd,NORTHLAND CENTRE,KIDS FAMILY DAY CARE,1391
3183.0,St Kilda Steiner Kindergarten Inc,BALACLAVA,St Kilda Steiner Kindergarten ,1419
3183.0,Tevelle Pty. Ltd.,BALACLAVA,61 BALACLAVA ROAD ,1420
3912.0,Footprints Day Care Centres Pty Ltd,PEARCEDALE,Footprints Day Care Centres  ,1455
3088.0,Briar Hill Primary School,BRIAR HILL,Briar Hill Primary School,1467
3173.0,Gok Engineering Pty Ltd,KEYSBOROUGH,15 LAKEVIEW BOULEVARD ,1468
3116.0,Sinko Holdings Pty Ltd,CHIRNSIDE PARK,Sinko Holdings  ,1475
3116.0,Kimberley Place Incorporated,CHIRNSIDE PARK,Kimberley Place,1476
3976.0,Tender Loving Early Learning Centre Pty Ltd,HAMPTON PARK,LOT 12  ENTERPRISE AVE ,1481
3976.0,Tender Loving Childcare Centre Pty Ltd,HAMPTON PARK,LOT 12 ENTERPRISE AVE ,1482
3976.0,Valley Brook Preschool Inc,HAMPTON PARK,2 BROOK COURT ,1483
3114.0,Park Orchards Kindergarten Inc,PARK ORCHARDS,Park Orchards Kindergarten ,1500
3793.0,Monbulk Primary School Council,MONBULK,Monbulk Primary School Council,1507
3141.0,Christ Church Grammar School,SOUTH YARRA,Christ Church Grammar School,1535
3791.0,Complete Early Education Group Pty Ltd,KALLISTA,Complete Early Education Group  ,1537
3791.0,Kallista Kindergarten Association Inc,KALLISTA,Kallista Kindergarten  ,1538
3206.0,MIDDLE PARK KINDERGARTEN INC,MIDDLE PARK,131 MILLS STREET ,1563
3190.0,Livingston Kindergarten Inc,HIGHETT,Livingston Kindergarten ,1571
3064.0,Our Lady's Primary School,CRAIGIEBURN,Our Lady's Primary School,1609
3064.0,Willmott Park Primary School Council,CRAIGIEBURN,Willmott Park Primary School Council,1610
3097.0,Kangaroo Ground Primary School Council,KANGAROO GROUND,C/O POST OFFICE ,1617
3099.0,Ferguson Park Preschool Inc,HURSTBRIDGE,Ferguson Park Preschool ,1644
3099.0,Hurstbridge Primary School OSHC,HURSTBRIDGE,MAIN ROAD ,1645
3034.0,Wonderkindy House Pty Ltd,AVONDALE HEIGHTS,171 MILITARY ROAD ,1646
3034.0,Wonderkindy - Avondale Heights Pty Ltd,AVONDALE HEIGHTS,158 MILITARY ROAD ,1647
3030.0,Carranballac P-9 College School Council,POINT COOK,Carranballac P-9 College School Council,1651
3109.0,Ali & Ali Australia Pty Ltd,DONCASTER EAST,Ali & Ali Australia  ,1660
3109.0,Maria McIntyre,DONCASTER EAST,16 BEVERLEY STREET ,1661
3109.0,Beverley Hills Primary School Council,DONCASTER EAST,Beverley Hills Primary School Council,1662
3109.0,Martinov Enterprises Pty Ltd,DONCASTER EAST,Martinov Enterprises  ,1663
3163.0,Ormond Community Kindergarten Inc,GLEN HUNTLY,Ormond Community Kindergarten ,1664
3011.0,Brenbeal Children's Centre Inc,FOOTSCRAY,8 RAYNER STREET ,1665
3011.0,Bishaaro Family Day Care Pty Ltd,FOOTSCRAY,SUITE 43 27 ALBERT STREET ,1666
3029.0,QUALITY TRAINING AND DEVELOPMENT PTY LTD,TARNEIT,Quality Training & Daycare Centre,1669
3029.0,VICTORIAN EARLY LEARNING CENTRE PTY. LTD.,TARNEIT,VICTORIAN EARLY LEARNING CENTRE,1670
3804.0,YILY PTY LTD,NARRE WARREN NORTH,Rose Garden Child Care and Kindergarten,1681
3089.0,Ness Reserve Pre-school Association Inc.,DIAMOND CREEK,1 NESS STREET ,1694
3934.0,Community One Inc,MOUNT MARTHA,Community One ,1704
3044.0,Coburg North Primary School Council,PASCOE VALE SOUTH,Coburg North Primary School Council,1726
3150.0,The Trustee for KIDZ CENTRAL FAMILY DAYCARE TRUST,BRANDON PARK,Kidz Central Family Daycare Trust,1727
3044.0,Pascoe Vale North Primary School Council,PASCOE VALE,KENT ROAD ,1738
3023.0,CREEKSIDE K - 9 COLLEGE SCHOOL COUNCIL,CAROLINE SPRINGS,Creekside Kindergarten,1739
3200.0,Wirilda Preschool Assoc Inc,FRANKSTON NORTH,11 WIRILDA CRESCENT ,1740
3093.0,Lower Plenty Kindergarten Association Inc,LOWER PLENTY,CNR PARA RD & GLENAUBURN RD ,1744
3910.0,Ballam Park Preschool Association Inc,LANGWARRIN,Ballam Park Preschool  ,1750
3910.0,Manarvi Pty Ltd,LANGWARRIN,Manarvi  ,1751
3910.0,Langwarrin Community Centre Inc,LANGWARRIN,2 LANG ROAD ,1752
3138.0,Barngeong Reserve Kindergarten Association Inc,MOOROOLBARK,Barngeong Reserve Kindergarten  ,1771
3082.0,Stables Kindergarten Inc,MILL PARK,Stables Kindergarten ,1799
3030.0,Sewell's Children's Services Pty Ltd,SANCTUARY LAKES,14 LAKESIDE DVE ,1806
3032.0,Vivien Mahomet,ASCOT VALE,Vivien Mahomet,1821
3032.0,Ascot Kindergarten Inc,ASCOT VALE,1 WEST STREET ,1822
3152.0,The Presbyterian School of St Andrew Ltd,WANTIRNA,The Presbyterian School of St Andrew ,1825
3105.0,Moresby Avenue Child Care & Early Learning Centre Inc,BULLEEN,6 MORESBY AVENUE ,1836
3129.0,Newhope Baptist Pre-School Inc,KERRIMUIR,Newhope Baptist Pre-School ,1845
3129.0,OZ Kids Pty Ltd,KERRIMUIR,OZ Kids  ,1846
3129.0,Alan Blue Pty Ltd,KERRIMUIR,Alan Blue  ,1847
3185.0,Adass Israel School Inc,ELSTERNWICK,10 - 12 KING STREET ,1848
3136.0,Lipscombe Park Kindergarten Inc,CROYDON HILLS,Lipscombe Park Kindergarten ,1860
