geography_name, rai_national_total_2014_q2, rai_national_total_2014_q3, rai_national_total_2014_q4, rai_national_total_2021_q1, rai_national_total_2014_q1, state, rai_national_total_2020_q1, rai_national_total_2020_q2, rai_national_total_2020_q3, rai_national_total_2011_q2, rai_national_total_2020_q4, rai_national_total_2011_q1, city, unique_id, rai_national_total_2013_q3, rai_national_total_2013_q4, rai_national_total_2013_q1, rai_national_total_2012_q4, rai_national_total_2013_q2, rai_national_total_2015_q3, rai_national_total_2015_q4, rai_national_total_2015_q1, rai_national_total_2015_q2, rai_national_total_2016_q1, rai_national_total_2016_q2, rai_national_total_2016_q3, rai_national_total_2016_q4, rai_national_total_2012_q1, rai_national_total_2012_q3, rai_national_total_2012_q2, rai_national_total_2017_q3, rai_national_total_2017_q4, rai_national_total_2019_q1, rai_national_total_2017_q1, rai_national_total_2019_q2, rai_national_total_2017_q2, rai_national_total_2011_q4, rai_national_total_2018_q4, rai_national_total_2018_q3, rai_national_total_2018_q2, rai_national_total_2018_q1, rai_national_total_2021_q2, rai_national_total_2019_q3, rai_national_total_2019_q4
"3084",118.5458,110.9467,124.7401,123.6264,108.1731,"VIC",115.3846,123.6264,123.6264,109.1476,129.8077,115.3846,"Greater Melbourne",1384,113.8664,116.9439,119.3634,113.8664,120.1923,121.4575,116.8452,113.9601,116.8452,112.5704,115.3846,116.8452,115.3846,109.1476,115.3846,112.1795,108.5973,108.9744,112.0879,109.8901,108.9744,111.8881,110.6428,114.0429,111.451,116.7582,108.9744,120.0534,116.7582,112.7321
"3085",125.4181,131.1189,131.8681,126.6417,131.1189,"VIC",144.2308,128.2051,120.7513,115.3846,119.3634,149.5726,"Greater Melbourne",1385,127.2624,123.6264,157.3427,129.1619,113.8664,124.7401,123.0769,144.2308,128.2051,170.9402,123.0769,119.8801,121.4575,146.8531,123.3118,118.7783,116.8452,121.8347,130.7692,124.7401,122.5962,123.0769,122.3776,125.7396,122.5962,123.3672,136.2179,116.6811,122.5962,116.7582
"3088",113.8664,118.5458,124.7401,116.6811,116.9439,"VIC",115.1288,116.6811,118.007,115.3846,119.3634,117.0569,"Greater Melbourne",1388,120.1923,120.1923,127.2624,117.7394,123.6264,121.4575,118.3432,126.4489,128.2051,122.2618,123.0769,121.4575,121.4575,112.1795,112.1795,115.3846,112.5704,114.0429,111.451,109.8901,111.451,112.5704,115.3846,108.9744,114.0429,116.7582,114.0429,115.3846,108.9744,111.451
"3190",112.3876,108.1731,112.5704,112.8763,113.1222,"VIC",109.3117,115.3846,108.1731,104.8951,111.6625,102.2395,"Greater Melbourne",1478,108.8534,112.3876,116.9439,115.3846,109.5424,113.1222,108.5973,121.4575,115.3846,109.8901,115.3846,109.8901,106.1008,100.9615,102.2395,96.15385,102.5641,108.9744,100.0785,107.3345,103.2389,102.5641,100.9615,108.9744,108.9744,105.4591,106.6054,118.6813,108.9744,100.0785
"3086",null,null,null,null,null,"VIC",null,null,null,null,null,null,"Greater Melbourne",1386,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"3093",131.1189,116.9439,131.8681,129.8077,123.6264,"VIC",120.7513,126.6417,115.3846,126.2019,120.7513,109.1476,"Greater Melbourne",1392,131.1189,133.1361,135.2163,123.6264,123.6264,125.5887,142.0118,128.2051,139.8601,131.8681,121.4575,124.7401,134.7558,115.3846,122.3776,126.2019,139.8601,121.0826,130.7692,124.7401,121.0826,115.3846,115.3846,118.165,116.7582,122.5962,125.7396,122.1719,122.5962,116.7582
"3094",113.8664,113.8664,126.4489,112.8763,118.5458,"VIC",112.8763,120.7513,112.8763,122.3776,114.1167,113.7595,"Greater Melbourne",1393,123.6264,118.5458,120.1923,127.2624,112.3876,115.3846,118.3432,122.2618,115.3846,123.0769,115.3846,118.3432,115.3846,112.1795,112.1795,118.7783,109.8901,116.7582,115.3846,115.3846,108.9744,110.5283,106.2753,114.0429,114.0429,108.9744,111.451,109.8901,108.9744,106.6054
"3095",103.022,108.1731,109.8901,109.3117,103.6389,"VIC",105.9655,103.8462,103.8462,103.5503,105.9655,103.5503,"Greater Melbourne",1394,106.8376,110.2401,118.5458,103.022,111.6625,107.3345,107.3345,109.8901,109.8901,102.5641,109.8901,102.5641,102.5641,100.9615,98.49906,106.2753,100.3344,108.9744,106.6054,95.16257,104.3372,92.30769,100.9615,101.6341,98.07692,106.6054,98.07692,115.3846,104.3372,103.2389
"3193",78.67133,74.60212,77.18034,73.13109,75.25084,"VIC",78.67133,89.13833,79.88166,73.42657,86.90055,79.18552,"Greater Melbourne",1481,78.67133,78.67133,78.67133,75.25084,80.12821,76.92308,80.97166,76.92308,76.92308,71.00592,76.92308,71.00592,72.11538,73.42657,73.42657,70.23411,66.40841,70.05495,75.44379,71.00592,72.11538,80.97166,73.42657,70.05495,70.05495,84.1862,72.38149,77.49713,65.38462,78.46154
"3089",108.1731,113.8664,121.4575,115.3846,106.8376,"VIC",107.0579,126.6092,103.8275,103.5503,111.6625,112.1795,"Greater Melbourne",1389,108.1731,109.5424,110.9467,109.5424,110.9467,115.3846,109.2399,121.4575,115.3846,108.5973,118.3432,118.3432,102.5641,115.3846,108.4151,104.8951,104.9046,102.1635,105.4591,103.7165,108.9744,107.9622,111.023,108.9744,110.1988,96.62751,116.7582,94.40559,108.9744,107.7768
